ingredients_1,ingredients_2,ingredients_3,choice_set
0.0,0.5,0.5,1
0.36,0.32,0.32,1
0.5,0.0,0.5,2
0.3,0.38,0.33,2
0.48,0.52,0.0,3
0.32,0.33,0.35,3
0.55,0.0,0.45,4
1.0,0.0,0.0,4
0.45,0.0,0.55,5
0.0,0.0,1.0,5
0.0,0.47,0.53,6
0.0,0.0,1.0,6
0.0,1.0,0.0,7
0.51,0.49,0.0,7
0.51,0.49,0.0,8
0.0,1.0,0.0,8
1.0,0.0,0.0,9
0.5,0.5,0.0,9
0.0,0.4,0.6,10
0.44,0.0,0.56,10
1.0,0.0,0.0,11
0.5,0.5,0.0,11
0.35,0.32,0.32,12
1.0,0.0,0.0,12
0.0,0.48,0.52,13
0.0,1.0,0.0,13
0.0,1.0,0.0,14
0.29,0.38,0.33,14
0.36,0.32,0.32,15
0.0,0.5,0.5,15
0.0,0.47,0.53,16
0.0,0.0,1.0,16
